fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/Baptiste1_Lec_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	525	3;10.23	3	0	0	0	6	8	63	1	0	0	0	0	4	3	0	3	1	0	0	
../tcof/chi-trans-metaok/baptiste1_lel.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	546	4;05.30	4	1	2	0	2	3	22	0	0	1	0	0	1	4	0	4	0	0	0	
../tcof/chi-trans-metaok/baptiste1_zie.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	1047	3;10.23	3	2	2	0	42	11	84	1	0	2	5	4	2	4	0	10	2	0	0	
../tcof/chi-trans-metaok/benedicte1_let.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	1358	4;03.17	4	3	0	0	12	6	104	8	0	3	2	1	5	4	0	21	2	0	0	
../tcof/chi-trans-metaok/bengaly1_can.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	358	6;04.24	6	0	0	0	2	0	17	0	0	5	1	1	3	0	0	8	0	0	0	
../tcof/chi-trans-metaok/camille1_bar.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	296	5;07.05	5	0	1	0	6	2	22	4	0	0	0	2	3	0	0	4	1	0	0	
../tcof/chi-trans-metaok/camille1_mer.tei_corpo2_tto.cha 	 TRANS 	 CHI 	13	879	4;05.30	4	0	0	0	4	2	68	2	0	4	0	1	1	0	0	8	0	0	0	
../tcof/chi-trans-metaok/Camille1_Sil_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	619	5;09.17	5	0	0	0	32	15	44	0	0	1	4	2	10	11	0	1	0	1	0	
../tcof/chi-trans-metaok/Capucine1_San_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	944	5;04.24	5	0	2	0	3	10	64	2	0	5	2	3	12	3	0	8	0	2	0	
../tcof/chi-trans-metaok/Carla1_Con_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	847	6;	6	1	1	0	2	20	84	3	0	2	2	11	4	6	0	1	2	0	0	
../tcof/chi-trans-metaok/Cassandre1_And_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	12	705	4;09.17	4	0	0	0	0	8	62	5	0	4	0	1	2	5	0	5	0	0	0	
../tcof/chi-trans-metaok/cecile1_dan.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	1578	3;10.23	3	3	1	0	14	14	149	4	0	3	1	11	7	5	0	13	7	1	0	
../tcof/chi-trans-metaok/celene1_ber.tei_corpo2_tto.cha 	 TRANS 	 CHI 	47	2486	4;	4	8	8	0	13	24	141	12	0	12	1	13	11	12	0	41	3	2	0	
../tcof/chi-trans-metaok/charlotte1_gir.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	436	2;03.17	2	0	1	0	0	0	7	0	0	0	0	3	2	0	0	2	0	0	0	
../tcof/chi-trans-metaok/charlotte1_leb.tei_corpo2_tto.cha 	 TRANS 	 CHI 	5	350	4;02.12	4	0	0	0	3	1	19	1	0	1	0	0	1	1	0	2	0	0	0	
../tcof/chi-trans-metaok/chloe1_fau.tei_corpo2_tto.cha 	 TRANS 	 CHI 	36	1394	4;01.05	4	8	1	0	5	8	98	5	0	7	2	4	9	6	0	18	0	1	0	
../tcof/chi-trans-metaok/Claire1_Kam_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	16	378	4;04.24	4	1	0	0	5	4	29	5	0	1	1	1	3	6	0	8	0	0	0	
../tcof/chi-trans-metaok/clara1_dum.tei_corpo2_tto.cha 	 TRANS 	 CHI 	12	1343	3;01.06	3	1	1	0	6	13	64	9	0	10	3	1	7	14	0	9	1	0	0	
../tcof/chi-trans-metaok/clara1_lau.tei_corpo2_tto.cha 	 TRANS 	 CHI 	1	365	3;	3	0	4	0	4	3	9	1	0	1	0	2	7	2	0	2	0	0	0	
../tcof/chi-trans-metaok/clelie1_dup.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	214	2;05.30	2	1	0	0	0	0	7	0	0	0	0	0	0	2	0	1	0	0	0	
../tcof/chi-trans-metaok/clemence1_bra.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	402	5;08.11	5	1	2	0	1	3	35	1	0	9	0	2	1	5	0	3	2	0	0	
../tcof/chi-trans-metaok/clemence1_hal.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	335	3;02.12	3	3	1	0	1	0	26	2	0	0	0	0	4	1	0	0	2	0	0	
../tcof/chi-trans-metaok/clement1_med.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	94	3;05.30	3	0	0	0	2	0	8	0	0	0	2	0	0	1	0	0	0	0	0	
../tcof/chi-trans-metaok/Clementin1_Bat_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	11	309	4;	4	0	4	0	0	2	19	3	0	1	0	0	1	4	0	6	2	0	0	
../tcof/chi-trans-metaok/clementine1_bas.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	381	3;08.11	3	2	0	0	2	7	16	2	0	1	0	1	1	4	0	3	0	0	0	
../tcof/chi-trans-metaok/cleophee1_pie.tei_corpo2_tto.cha 	 TRANS 	 CHI 	31	1230	5;	5	11	1	0	13	9	92	7	0	12	0	3	3	5	0	17	0	1	0	
